0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152
0.0,1623.2,1707.6,1087.8,1892.4,1381.9,6262.1,1368.8,1792.7,1822.6,1990.2,1729.2,1945.0,1777.2,1444.8,1918.1,2330.3,961.5,6615.6,4907.9,2114.1,10664.9,1606.8,1252.0,1373.4,24899.8,23796.3,23923.8,9884.7,1790.9,1759.6,1852.3,1401.8,1858.0,1340.9,1911.1,1042.6,1766.2,1034.2,1921.9,1364.9,1905.8,1296.3,1819.0,1923.1,1933.8,1949.4,19160.4,5945.2,12962.6,811.1,840.4,1586.9,1958.4,2076.1,1861.2,2080.3,6260.6,6277.5,6667.9,15446.3,15206.6,2253.9,743.6,2317.0,790.4,1775.6,1965.0,2076.3,1916.3,1876.6,1592.6,1748.0,2005.8,830.8,1689.6,20094.8,14643.5,19123.7,1235.2,1796.1,1885.4,15549.0,19036.0,10222.6,9651.8,19887.6,15450.4,10594.6,16345.4,10289.6,16050.1,18202.6,2005.2,2020.8,1344.3,1310.3,2408.8,1887.3,1503.6,2089.7,1741.7,1540.8,1805.7,2068.2,2243.4,1619.9,2354.3,1864.6,1925.5,2026.7,2138.0,6085.0,5574.8,10904.6,8470.2,4699.3,1090.6,1887.3,30569.9,2019.6,2190.8,1968.3,1590.5,1763.6,7128.6,6241.7,5547.8,6318.7,6270.1,6510.6,5835.4,826.0,804.4,18262.5,3409.5,1424.3,4472.2,18163.2,17199.0,19766.6,21863.6,6927.8,6254.4,6040.1,7059.1,1650.3,1961.0,6572.9,6189.7,6870.2,6143.2,2760.2
1501.4,0.0,360.9,788.1,320.2,263.4,7393.3,336.3,169.5,368.9,521.9,149.3,419.2,239.8,188.9,353.1,2101.5,691.7,7746.8,6039.1,645.8,9497.8,340.8,413.1,351.7,24680.0,23500.0,23627.5,9588.4,211.0,265.1,246.2,270.7,268.6,397.3,390.5,660.2,217.7,714.1,330.6,451.1,325.9,465.2,239.1,345.2,367.9,488.7,20522.1,5420.1,14324.3,893.7,937.1,245.0,378.5,634.7,429.9,639.4,7391.8,7408.7,7799.1,14676.4,14910.3,2025.1,2105.3,2114.2,1310.6,300.4,427.6,863.0,454.1,1270.2,267.9,601.9,2799.3,1325.3,394.2,19875.0,13476.4,20485.4,585.7,605.2,743.6,14779.1,20397.7,10002.8,10783.0,19667.8,14680.5,9427.5,16049.1,10069.8,15280.2,17906.3,1503.7,1537.6,532.9,952.9,1195.5,997.8,456.0,1108.4,236.8,216.6,671.7,1057.9,1111.8,372.3,1344.4,668.2,1036.0,839.3,944.1,7216.2,6936.5,9737.5,7303.1,3532.2,1822.1,1658.5,30350.1,644.3,791.4,593.0,438.1,997.2,8259.8,7372.9,6679.0,7449.9,7401.3,7641.8,5445.2,1388.3,2166.1,17966.2,3189.7,630.9,5603.4,17866.9,16429.1,19546.8,23225.3,6708.0,6034.6,5820.3,6839.3,289.3,600.0,7704.1,5969.9,8001.4,7274.4,2405.6
1540.0,289.8,0.0,827.4,362.2,318.6,7431.9,510.1,154.4,191.1,358.7,276.3,312.6,326.8,384.4,375.2,2002.8,730.3,7785.4,6077.7,482.6,9290.5,228.1,468.1,386.9,24472.7,23292.7,23420.2,9381.1,269.2,120.0,229.6,284.0,218.4,571.1,279.8,698.8,279.4,752.7,282.3,464.4,347.6,531.2,306.5,318.3,294.2,317.9,20560.7,5212.8,14362.9,932.3,975.7,115.5,419.6,456.5,241.6,460.7,7430.4,7447.3,7837.7,14469.1,14703.0,1926.4,2143.9,2015.5,1349.2,155.3,440.1,655.7,284.8,1171.5,170.6,399.2,2837.9,1270.4,281.5,19667.7,13269.1,20524.0,693.3,402.5,541.4,14571.8,20436.3,9795.5,10821.6,19460.5,14473.2,9220.2,15841.8,9862.5,15072.9,17699.0,1405.0,1412.3,546.2,870.8,988.2,899.1,406.7,901.1,102.1,200.4,472.6,850.6,904.5,303.8,1137.1,460.9,937.3,632.0,736.8,7254.8,6975.1,9530.2,7095.8,3324.9,1860.7,1559.8,30142.8,398.4,571.2,347.1,373.3,898.5,8298.4,7411.5,6717.6,7488.5,7439.9,7680.4,5237.9,1426.9,2204.7,17758.9,2982.4,581.6,5642.0,17659.6,16221.8,19339.5,23263.9,6500.7,5827.3,5613.0,6632.0,119.7,392.7,7742.7,5762.6,8040.0,7313.0,2198.3
964.0,779.5,874.3,0.0,997.9,548.6,6855.9,484.5,949.0,989.3,1156.9,834.7,1111.7,882.7,600.1,1023.6,2515.8,154.9,7209.4,5501.7,1280.8,9932.5,773.5,418.7,540.1,25114.7,23934.7,24062.2,10023.1,896.4,926.3,957.8,568.5,1023.1,433.8,1077.8,131.8,871.7,74.7,1037.2,676.1,1011.3,422.9,924.5,1028.6,1051.3,1116.1,19984.7,5854.8,13786.9,356.3,338.2,753.6,1063.9,1242.8,1027.9,1247.0,6854.4,6871.3,7261.7,15111.1,15345.0,2439.4,1567.9,2528.5,755.0,942.3,1070.5,1297.7,1083.0,1684.5,759.3,1016.2,2261.9,1288.5,856.3,20309.7,13911.1,19948.0,263.3,1019.5,1157.9,15213.8,19860.3,10437.5,10245.6,20102.5,15115.2,9862.2,16483.8,10504.5,15714.9,18341.0,1918.0,1951.9,655.5,1209.8,1630.2,1412.1,788.7,1543.1,908.4,707.5,1086.0,1491.5,1546.5,786.6,1779.1,1086.0,1450.3,1274.0,1378.8,6678.8,6399.1,10172.2,7737.8,3966.9,1266.5,2072.8,30784.8,1186.3,1357.5,1135.0,801.0,1411.5,7722.4,6835.5,6141.6,6912.5,6863.9,7104.4,5879.9,832.7,1628.7,18400.9,3624.4,876.9,5066.0,18301.6,16863.8,19981.5,22687.9,7142.7,6469.3,6255.0,7274.0,817.0,1127.7,7166.7,6404.6,7464.0,6737.0,2840.3
1701.9,253.3,376.9,930.4,0.0,516.7,7593.8,478.6,201.8,359.1,473.8,195.2,293.4,76.4,398.6,99.6,2266.1,892.2,7947.3,6239.6,509.8,9525.8,519.1,597.2,596.8,24708.0,23528.0,23655.5,9616.4,150.6,281.1,138.2,524.0,215.7,539.6,242.7,860.7,115.2,914.6,177.9,704.4,103.1,646.1,103.6,138.6,164.3,452.4,20722.6,5448.1,14524.8,1094.2,1137.6,404.2,160.1,523.6,422.9,512.9,7592.3,7609.2,7999.6,14704.4,14938.3,2196.1,2305.8,2278.8,1511.1,316.4,204.7,920.0,419.1,1468.5,447.9,696.2,2999.8,1561.4,572.5,19903.0,13504.4,20685.9,728.0,699.5,838.4,14807.1,20598.2,10030.8,10983.5,19695.8,14708.5,9455.5,16077.1,10097.8,15308.2,17934.3,1650.9,1647.6,786.2,1161.8,1223.5,1196.1,697.7,1176.1,252.8,477.7,769.6,1125.6,1139.8,594.8,1372.4,760.1,1234.3,931.2,1001.1,7416.7,7137.0,9765.5,7331.1,3560.2,2022.6,1856.8,30378.1,633.6,652.4,582.3,664.3,1195.5,8460.3,7573.4,6879.5,7650.4,7601.8,7842.3,5473.2,1588.8,2366.6,17994.2,3217.7,872.6,5803.9,17894.9,16457.1,19574.8,23425.8,6736.0,6062.6,5848.3,6867.3,381.2,689.7,7904.6,5997.9,8201.9,7474.9,2433.6
1319.5,316.2,369.3,606.9,636.4,0.0,7211.4,296.2,455.7,484.3,651.9,465.5,606.7,552.6,220.6,676.5,2010.8,509.8,7564.9,5857.2,775.8,9427.5,268.5,247.6,163.6,24609.7,23429.7,23557.2,9518.1,527.2,421.3,530.9,63.5,519.7,355.4,572.8,478.3,541.6,532.2,583.6,219.4,648.9,310.7,555.3,619.6,595.5,611.1,20340.2,5349.8,14142.4,711.8,755.2,248.6,694.7,737.8,522.9,742.0,7209.9,7226.8,7617.2,14606.1,14840.0,1934.4,1923.4,2023.5,1128.7,437.3,740.4,792.7,578.0,1179.5,254.3,511.2,2617.4,1111.5,351.3,19804.7,13406.1,20303.5,472.8,514.5,652.9,14708.8,20215.8,9932.5,10601.1,19597.5,14610.2,9357.2,15978.8,9999.5,15209.9,17836.0,1413.0,1446.9,301.2,796.4,1125.2,907.1,250.8,1038.1,403.4,202.5,581.0,986.5,1041.5,281.6,1274.1,581.0,945.3,769.0,873.8,7034.3,6754.6,9667.2,7232.8,3461.9,1640.2,1567.8,30279.8,681.3,852.5,630.0,273.2,906.5,8077.9,7191.0,6497.1,7268.0,7219.4,7459.9,5374.9,1206.4,1984.2,17895.9,3119.4,417.1,5421.5,17796.6,16358.8,19476.5,23043.4,6637.7,5964.3,5750.0,6769.0,312.0,622.7,7522.2,5899.6,7819.5,7092.5,2335.3
6297.5,7517.8,7602.2,6964.1,7787.0,7276.5,0.0,7263.4,7687.3,7717.2,7884.8,7623.8,7839.6,7671.8,7339.4,7812.7,7966.1,6856.1,498.7,2553.5,7979.6,15414.9,7417.1,7146.6,7268.0,28870.6,27767.1,27894.6,13855.5,7685.5,7654.2,7746.9,7296.4,7752.6,7235.5,7805.7,6937.2,7660.8,6928.8,7816.5,7289.1,7800.4,7190.9,7713.6,7817.7,7828.4,7844.0,16731.3,9916.0,10533.5,6735.3,6663.8,7481.5,7853.0,7941.8,7755.8,7945.5,28.9,132.0,498.9,19417.1,19177.4,7889.7,5698.3,7952.8,6270.2,7670.2,7859.6,7712.1,7810.9,7512.4,7487.2,7383.8,4947.5,6466.6,7433.7,24065.6,19393.5,16694.6,7129.8,7431.9,7521.2,19519.8,16606.9,14193.4,4764.2,23858.4,19421.2,15344.6,20316.2,14260.4,20020.9,22173.4,7641.0,7656.6,7263.4,6946.1,8044.6,7523.1,7235.0,7725.5,7636.3,7435.4,7441.5,7704.0,7879.2,7368.0,7990.1,7500.4,7561.3,7662.5,7773.8,383.4,5168.1,15654.6,13220.2,10335.1,5760.8,7523.1,34540.7,7765.3,8058.3,7765.8,7299.1,7399.4,970.4,454.1,757.3,1023.2,1048.3,278.9,9806.2,6195.4,5684.7,22233.3,7380.3,7060.1,2269.9,22134.0,21169.8,23737.4,19434.5,10898.6,10225.2,10010.9,11029.9,7544.9,7620.8,341.2,10160.5,1156.3,254.6,8291.7
1230.7,339.9,549.5,491.6,558.3,223.8,7122.6,0.0,509.4,664.5,832.1,395.1,719.5,443.1,160.5,584.0,2189.8,421.0,7476.1,5768.4,956.0,9606.5,447.5,118.6,215.3,24788.7,23608.7,23736.2,9697.1,456.8,596.0,518.2,243.7,583.5,71.0,668.8,389.5,432.1,443.4,597.6,355.0,571.7,167.5,484.9,589.0,611.7,791.3,20251.4,5528.8,14053.6,623.0,666.4,428.8,624.3,918.0,703.1,922.2,7121.1,7138.0,7528.4,14785.1,15019.0,2113.4,1834.6,2202.5,1039.9,617.5,630.9,971.7,758.2,1358.5,434.5,690.2,2528.6,1195.7,530.3,19983.7,13585.1,20214.7,271.8,693.5,831.9,14887.8,20127.0,10111.5,10512.3,19776.5,14789.2,9536.2,16157.8,10178.5,15388.9,18015.0,1592.0,1625.9,327.6,881.9,1304.2,1086.1,463.9,1217.1,556.2,382.7,760.0,1165.5,1220.5,460.6,1453.1,760.0,1124.3,948.0,1052.8,6945.5,6665.8,9846.2,7411.8,3640.9,1551.4,1746.8,30458.8,861.5,1032.7,810.2,476.2,1085.5,7989.1,7102.2,6408.3,7179.2,7130.6,7371.1,5553.9,1117.6,1895.4,18074.9,3298.4,549.0,5332.7,17975.6,16537.8,19655.5,22954.6,6816.7,6143.3,5929.0,6948.0,492.2,802.9,7433.4,6078.6,7730.7,7003.7,2514.3
1653.8,169.5,191.4,941.2,246.5,422.5,7545.7,505.8,0.0,199.4,352.4,136.8,261.4,185.7,358.4,274.5,2114.3,844.1,7899.2,6191.5,476.3,9393.7,353.4,581.9,500.7,24575.9,23395.9,23523.4,9484.3,128.1,95.6,124.8,397.8,110.8,566.8,213.9,812.6,138.3,866.5,194.5,578.2,246.9,634.7,165.4,217.6,221.1,319.2,20674.5,5316.0,14476.7,1046.1,1089.5,240.5,304.8,465.2,260.4,469.9,7544.2,7561.1,7951.5,14572.3,14806.2,2037.9,2257.7,2127.0,1463.0,130.9,367.0,757.5,284.6,1283.0,296.1,510.7,2951.7,1395.9,400.8,19770.9,13372.3,20637.8,755.2,514.0,652.9,14675.0,20550.1,9898.7,10935.4,19563.7,14576.4,9323.4,15945.0,9965.7,15176.1,17802.2,1516.5,1515.5,660.0,996.3,1091.4,1010.6,532.2,1013.6,67.3,325.9,584.1,963.1,1007.7,429.3,1240.3,574.6,1048.8,745.7,838.6,7368.6,7088.9,9633.4,7199.0,3428.1,1974.5,1671.3,30246.0,474.8,621.9,423.5,498.8,1010.0,8412.2,7525.3,6831.4,7602.3,7553.7,7794.2,5341.1,1540.7,2318.5,17862.1,3085.6,707.1,5755.8,17762.8,16325.0,19442.7,23377.7,6603.9,5930.5,5716.2,6735.2,195.7,506.4,7856.5,5865.8,8153.8,7426.8,2301.5
1755.3,453.8,215.3,1042.7,381.5,533.9,7647.2,725.4,284.3,0.0,206.8,406.2,167.0,448.0,599.7,371.0,1953.7,945.6,8000.7,6293.0,327.1,9213.4,405.0,683.4,602.2,24395.6,23215.6,23343.1,9304.0,399.1,208.2,359.5,499.3,259.2,786.4,211.3,914.1,409.3,968.0,301.9,679.7,352.0,746.5,381.7,330.1,276.7,166.0,20776.0,5135.7,14578.2,1147.6,1191.0,330.8,402.8,288.3,73.4,293.0,7645.7,7662.6,8053.0,14392.0,14625.9,1883.7,2359.2,1966.4,1564.5,185.6,423.3,577.2,135.6,1268.7,385.9,532.0,3053.2,1464.0,463.5,19590.6,13192.0,20739.3,908.6,534.8,612.7,14494.7,20651.6,9718.4,11036.9,19383.4,14396.1,9143.1,15764.7,9785.4,14995.8,17621.9,1338.5,1335.2,761.5,1035.9,911.1,970.7,594.7,833.3,243.9,415.7,549.2,782.8,827.4,519.1,1060.0,508.3,1015.7,597.2,658.3,7470.1,7190.4,9453.1,7018.7,3247.8,2076.0,1657.0,30065.7,294.5,441.6,243.2,588.6,995.7,8513.7,7626.8,6932.9,7703.8,7655.2,7895.7,5160.8,1642.2,2420.0,17681.8,2905.3,769.6,5857.3,17582.5,16144.7,19262.4,23479.2,6423.6,5750.2,5535.9,6554.9,293.8,362.8,7958.0,5685.5,8255.3,7528.3,2121.2
