costo,tiempo
79322, 18376
91683, 11968
79322, 18376
91683, 11968
82948, 14536
86945, 12269
83336, 13867
81233, 16445
85083, 13002
80621, 17689
86775, 12883
85083, 13002
79497, 17724
81233, 16445
80900, 17124
83253, 14369
81026, 16810
79449, 18103
86931, 12289
86927, 12607
86945, 12269
81191, 16661
86926, 12615
80985, 17027
83134, 14527
80900, 17124
79449, 18103
81202, 16452
79408, 18319
83253, 14369
86775, 12883
80621, 17689
81191, 16661
80985, 17027
86926, 12615
83134, 14527
79382, 18328
79497, 17724
79382, 18328
79408, 18319
86931, 12289
86927, 12607
91683, 11968
79322, 18376
85083, 13002
81233, 16445
86945, 12269
80900, 17124
79449, 18103
83253, 14369
86775, 12883
80621, 17689
81191, 16661
80985, 17027
86926, 12615
83134, 14527
79497, 17724
79382, 18328
79408, 18319
86931, 12289
86927, 12607
91683, 11968
79322, 18376
85083, 13002
81233, 16445
79449, 18103
83253, 14369
86775, 12883
80621, 17689
81191, 16661
80985, 17027
86926, 12615
83134, 14527
79497, 17724
79382, 18328
79408, 18319
86931, 12289
86927, 12607
79322, 18376
85083, 13002
81233, 16445
79449, 18103
83253, 14369
86775, 12883
81191, 16661
80985, 17027
86926, 12615
83134, 14527
79497, 17724
79382, 18328
79408, 18319
86931, 12289
86927, 12607
79322, 18376
85083, 13002
79449, 18103
83253, 14369
81191, 16661
86926, 12615
83134, 14527
