costo,tiempo
116296, 28182
64122, 39191
116296, 28182
64122, 39191
68998, 35017
113214, 28405
105629, 28443
68908, 36603
70581, 33861
72673, 32961
74129, 32297
103119, 28520
83530, 30830
77158, 31849
85544, 30779
88135, 30590
99943, 28678
105460, 28465
79668, 31773
64987, 38503
95099, 29343
95682, 29140
71943, 33639
70012, 34583
97687, 28909
89809, 30568
71821, 33815
99564, 28867
76491, 31974
83354, 30987
72245, 33384
70222, 34255
114404, 28236
65873, 38223
101697, 28643
64413, 39014
67778, 37235
91137, 30152
93704, 29452
73081, 32813
68202, 37017
67254, 37655
102606, 28545
91840, 30034
80415, 31704
69653, 34667
94291, 29396
93258, 29613
86084, 30726
67441, 37543
90552, 30412
82355, 31085
81015, 31399
90555, 30201
67664, 37354
70212, 34267
96463, 29083
66953, 37864
68331, 36927
72245, 33384
87391, 30669
92169, 29950
92929, 29685
87021, 30697
64472, 38804
80417, 31517
73591, 32603
64472, 38804
90263, 30527
65440, 38309
81638, 31260
75959, 32160
75982, 32104
66650, 37888
81638, 31260
65397, 38432
75045, 32206
66317, 38022
99744, 28838
69289, 34841
82355, 31085
92169, 29950
80868, 31483
113667, 28317
75045, 32206
69289, 34841
79668, 31773
92929, 29685
66317, 38022
101697, 28643
68641, 36756
73591, 32603
96897, 29029
77158, 31849
73557, 32715
96897, 29029
68902, 36612
114404, 28236
68641, 36756
97687, 28909
