generations,best_min_cost,time_at_best_min_cost,best_min_time,cost_at_best_min_time,no_change_counter
10000,16665.279280000002,11438.458333333334,7315.652083333332,21391.7392,0
20000,16665.279280000002,11438.458333333334,7315.652083333332,21391.7392,1
30000,16665.279280000002,11438.458333333334,4644.620833333334,19794.36991999999,0
40000,12050.610000000002,6811.079166666666,3082.864583333334,16616.835039999994,0
50000,10340.46416,5015.65,3082.864583333334,16616.835039999994,0
60000,8548.14584,10111.731250000003,1283.445833333333,11850.73032,0
70000,5994.369679999999,1706.514583333333,893.3083333333334,6137.643199999999,0
80000,5994.369679999999,1706.514583333333,893.3083333333334,6137.643199999999,1
90000,5994.369679999999,1706.514583333333,893.3083333333334,6137.643199999999,2
100000,5233.2072,3253.589583333333,893.3083333333334,6137.643199999999,0
110000,5233.2072,3253.589583333333,893.3083333333334,6137.643199999999,1
120000,5233.2072,3253.589583333333,588.1770833333334,7548.064160000003,0
130000,5233.2072,3253.589583333333,588.1770833333334,7548.064160000003,1
140000,5233.2072,3253.589583333333,588.1770833333334,7548.064160000003,2
150000,5233.2072,3253.589583333333,588.1770833333334,7548.064160000003,3
160000,5233.2072,3253.589583333333,588.1770833333334,7548.064160000003,4
170000,5233.2072,3253.589583333333,587.4145833333333,8454.24008,0
180000,5157.116639999999,2905.620833333333,490.5833333333333,5522.749439999998,0
190000,5157.116639999999,2905.620833333333,490.5833333333333,5522.749439999998,1
200000,4384.51312,839.1895833333336,490.5833333333333,5522.749439999998,0
210000,4384.51312,839.1895833333336,490.5833333333333,5522.749439999998,1
220000,3244.6928799999996,3419.327083333334,291.10208333333327,3720.7466399999994,0
230000,3244.6928799999996,3419.327083333334,291.10208333333327,3720.7466399999994,1
240000,3244.6928799999996,3419.327083333334,291.10208333333327,3720.7466399999994,2
250000,3244.6928799999996,3419.327083333334,291.10208333333327,3720.7466399999994,3
260000,3244.6928799999996,3419.327083333334,291.10208333333327,3720.7466399999994,4
270000,3244.6928799999996,3419.327083333334,291.10208333333327,3720.7466399999994,5
280000,3244.6928799999996,3419.327083333334,291.10208333333327,3720.7466399999994,6
290000,3244.6928799999996,3419.327083333334,240.2395833333333,8398.32448,0
300000,3244.6928799999996,3419.327083333334,240.2395833333333,8398.32448,1
310000,3244.6928799999996,3419.327083333334,240.2395833333333,8398.32448,2
320000,3244.6928799999996,3419.327083333334,240.2395833333333,8398.32448,3
330000,3244.6928799999996,3419.327083333334,240.2395833333333,8398.32448,4
340000,3244.6928799999996,3419.327083333334,240.2395833333333,8398.32448,5
350000,3244.6928799999996,3419.327083333334,240.2395833333333,8398.32448,6
360000,3244.6928799999996,3419.327083333334,229.25833333333333,5475.01552,0
370000,3244.6928799999996,3419.327083333334,229.25833333333333,5475.01552,1
380000,3244.6928799999996,3419.327083333334,229.25833333333333,5475.01552,2
390000,3244.6928799999996,3419.327083333334,229.25833333333333,5475.01552,3
400000,3244.6928799999996,3419.327083333334,229.25833333333333,5475.01552,4
410000,3244.6928799999996,3419.327083333334,229.25833333333333,5475.01552,5
420000,3244.6928799999996,3419.327083333334,229.25833333333333,5475.01552,6
430000,3244.6928799999996,3419.327083333334,229.25833333333333,5475.01552,7
440000,3244.6928799999996,3419.327083333334,185.98333333333335,5039.848319999998,0
450000,3244.6928799999996,3419.327083333334,185.98333333333335,5039.848319999998,1
460000,2715.881999999999,673.0020833333334,185.98333333333335,5039.848319999998,0
470000,2715.881999999999,673.0020833333334,185.98333333333335,5039.848319999998,1
480000,2715.881999999999,673.0020833333334,185.98333333333335,5039.848319999998,2
490000,2715.881999999999,673.0020833333334,185.98333333333335,5039.848319999998,3
500000,2715.881999999999,673.0020833333334,185.98333333333335,5039.848319999998,4
