costo,tiempo
11149, 2837
11917, 1584
11149, 2837
11642, 2225
11187, 2299
11645, 1695
11357, 2249
11357, 2249
11860, 1619
11751, 1654
11751, 1654
11860, 1619
11680, 1687
11187, 2299
11680, 1687
11642, 2225
11645, 1695
11149, 2837
11357, 2249
11751, 1654
11860, 1619
11187, 2299
11680, 1687
11642, 2225
11645, 1695
11149, 2837
11357, 2249
11751, 1654
11860, 1619
11187, 2299
11680, 1687
11642, 2225
11645, 1695
11149, 2837
11357, 2249
11860, 1619
11187, 2299
11680, 1687
11642, 2225
11645, 1695
11149, 2837
11357, 2249
11860, 1619
11187, 2299
11680, 1687
11642, 2225
11645, 1695
11149, 2837
11357, 2249
11860, 1619
11187, 2299
11680, 1687
11642, 2225
11645, 1695
11149, 2837
11357, 2249
11860, 1619
11187, 2299
11680, 1687
11642, 2225
11645, 1695
11149, 2837
11357, 2249
11860, 1619
11187, 2299
11680, 1687
11642, 2225
11149, 2837
11357, 2249
11860, 1619
11187, 2299
11680, 1687
11642, 2225
11149, 2837
11357, 2249
11860, 1619
11187, 2299
11680, 1687
11642, 2225
11149, 2837
11357, 2249
11860, 1619
11187, 2299
11680, 1687
11642, 2225
11149, 2837
11357, 2249
11860, 1619
11187, 2299
11680, 1687
11642, 2225
11149, 2837
11357, 2249
11860, 1619
11187, 2299
11680, 1687
11642, 2225
11149, 2837
11357, 2249
11860, 1619
