costo,tiempo
14167, 1087
7673, 2113
7673, 2113
14167, 1087
13996, 1310
10284, 1378
7844, 1889
7844, 1889
9195, 1526
9195, 1526
10284, 1378
9463, 1421
14035, 1247
14035, 1247
13996, 1310
9437, 1475
9348, 1482
9463, 1421
9348, 1482
9437, 1475
7673, 2113
14167, 1087
7844, 1889
9195, 1526
10284, 1378
14035, 1247
13996, 1310
9463, 1421
9348, 1482
9437, 1475
14167, 1087
7673, 2113
7844, 1889
9195, 1526
10284, 1378
14035, 1247
13996, 1310
9463, 1421
9348, 1482
9437, 1475
14167, 1087
7844, 1889
9195, 1526
10284, 1378
14035, 1247
13996, 1310
9463, 1421
9348, 1482
9437, 1475
14167, 1087
7844, 1889
9195, 1526
10284, 1378
14035, 1247
13996, 1310
9463, 1421
9348, 1482
9437, 1475
14167, 1087
7844, 1889
9195, 1526
10284, 1378
14035, 1247
13996, 1310
9463, 1421
9348, 1482
9437, 1475
14167, 1087
7844, 1889
9195, 1526
10284, 1378
14035, 1247
13996, 1310
9463, 1421
9348, 1482
9437, 1475
14167, 1087
7844, 1889
9195, 1526
10284, 1378
14035, 1247
13996, 1310
9463, 1421
9348, 1482
9437, 1475
14167, 1087
7844, 1889
9195, 1526
10284, 1378
14035, 1247
13996, 1310
9463, 1421
9348, 1482
9437, 1475
14167, 1087
7844, 1889
9195, 1526
10284, 1378
14035, 1247
13996, 1310
