conf-param-1,conf-param-2,conf-param-3,conf-param-4,conf-param-5,conf-param-6,conf-param-7,conf-param-8,conf-param-9
1911106100.795,1754600859.3450003,1607769163.795,1979556701.045,1748426043.945,1759443990.145,1929825542.6949997,1861683037.4949996,1743770463.5449996
1776888922.0450003,1726064076.9950001,1544003332.145,1675263905.0950003,1759727056.7450008,1711458455.795,1845286441.3949997,1714078701.1450002,1786729693.0950003
1845793131.3950007,1681335610.9950001,1462081632.4950001,1901185531.8950002,1763438048.1450002,1636865343.5949998,1935345821.4450006,1948538426.3949993,1687807939.4950004
1976245122.745,1807538158.8950005,1688823963.645001,2000766192.9950001,1765402619.7450004,1635270339.4950006,1816256935.9950004,1745605551.845,1902287916.0450003
1830680655.7949998,1821596480.3950002,1631659775.5449998,1722212880.4450004,1730011448.8950005,1815908919.395,1919298906.4950006,1681644466.4950004,1792763059.8950005
1887408620.1449997,1917179814.045,1601772564.7450001,2000773774.6950002,1669809975.495,1672401975.2949998,1721327978.045,1798322927.7450001,1727869536.9450002
1875177012.9950001,1622662905.3950002,1703549383.1950002,1858919829.0949998,1945007357.545,1438195749.9950001,2028929222.895,1850849443.3450005,1692238458.6950002
1914042749.4950001,1905095240.1450002,1609495921.295,1935197845.8450003,1803258493.4450004,1850939111.3949997,1795063232.7450001,1748650766.5449998,1694518313.7950003
1877257485.1950002,1876726617.045,1459733441.395,1640902531.8450003,1419413258.595,1630093912.1950004,1907835961.3950007,1852346111.2950003,1913947799.0449998
1867241816.445,1530231585.6449997,1679656175.395,1849420519.895,1835374654.6450002,1914144492.8450003,1814975732.6950002,1994857116.0449998,1693021189.0949996
1969785621.9950001,1766024551.1450005,1377954988.4450004,1859048300.5449994,1640577768.145,1708565942.7450001,1940083774.045,1567575570.7950003,1945526982.5949998
1784704998.095,1539233476.2450001,1584587483.7449996,1779966425.4950001,1873203120.3450003,1631783756.1950002,1892790665.8950005,1658283543.1450002,1804858895.7449996
1838010723.4450002,1745874400.945,1510575519.5449998,1824065415.6950002,1800884182.195,1458445044.9949994,1735316212.5450003,1801122544.1949997,1814266633.9950008
1886049363.3450003,1696198102.3950005,1581386500.345,1774072996.1450005,1923995515.1450002,1676729075.1450002,1775524554.3450007,1663426136.295,1692798217.595
1741519285.7450001,1809100185.6950002,1639952888.1950002,1886270744.2949996,1762552813.0949998,1564760919.795,1789573093.4950004,1933262205.3950005,1648040377.0449998
1883952801.2450001,1657721347.5949998,1651209515.095,1871231929.1450005,1688044528.895,1611637503.145,1653792453.9450002,1869995462.5950003,1683201513.845
1705816504.0450003,1779290089.8950002,1655919759.3950005,1793998295.595,1862469086.7950003,1604957051.1450002,1746040872.845,1687162433.0949998,1744076265.4449995
1803973149.745,1707858755.9950001,1937057608.2950003,1778803607.5950003,1837111964.8450005,1856847676.295,1684858233.2450004,1757247363.895,1759137266.695
1824671705.4950001,1649488093.2450004,1734849018.5450003,1866187218.895,1875696807.0950012,1663850209.0450003,1849390490.7950008,1779434523.7450006,1566701025.4950008
1752317716.5950003,1644655996.945,1679358360.945,1895931004.5450003,1907619242.7950006,1677114220.195,1711135242.2450001,1745046379.345,1719703341.0950007
1470685136.9449997,1872362871.6950002,1657712899.8449998,1939014954.645,1852234305.4950006,1331573854.6950006,1767480034.3449998,1622920699.9450011,1852043332.845
1649903774.8450003,1780090556.345,1796809295.4450002,1842878266.9450002,1823823874.0450008,1669414226.1450002,1850181903.545,1796637613.145,1753522142.995
1709386850.795,1822933918.995,1759460100.3450007,1746862375.095,1769600172.345,1792807669.0950012,1939203799.3449996,1809379822.9950001,1477809435.895
1712553790.3449998,1816750490.4450002,1577899339.145,1710475106.5450003,1648656324.4950008,1822508666.345,1834990400.1450002,2026626291.7450004,1807925597.1450002
1714039722.1450002,1837662407.695,1539871272.595,1756786802.545,1801851269.3950002,1496445344.5450003,1754749484.295,1854432391.5450003,1723089372.2450001
1788804052.0950003,1858314388.4450006,1603690536.045,1663555845.0949998,1728177989.4950006,1561865111.9450004,1795436400.295,1827114506.045,1957999882.7450001
1846299364.4950001,1743721646.1449997,1614139151.345,1788691669.4450004,1849768389.9450002,1819306403.1949997,1857585177.5450008,1813495840.495,1756838108.295
1868202819.245,1709048931.6449997,1783720730.845,1553440875.2450001,1856305791.3950002,1755281658.745,1926100986.4950001,1826208507.295,1638168605.245
1782150217.2450004,1563811554.2950003,1473582972.6950004,2012722199.1449997,1729783848.245,1820410371.8450005,1990844512.0949998,1875879381.995,1965533330.095
1819945562.9949996,1769533296.8450003,1692546041.0450006,1830031666.8450005,1808530763.0950003,1598358219.9450004,1674358841.4450002,1707056663.1449997,1731269895.6950002
