population-50,population-100,population-200
124267906.28750001,127862201.53750001,120879780.1375
106230997.78750001,133188879.4875,154752360.1875
88471378.3375,131037823.5875,138063006.5875
144107751.88750002,102868129.2375,97521277.0375
109759477.8375,119785987.2375,75138847.1875
94527235.1875,98910197.0375,148295098.8375
105579173.7375,117856536.8375,92617808.3875
107170061.1375,130027392.3875,107215468.1375
90975833.8375,102514210.7375,145322393.0875
131618309.1875,114583593.2875,101934988.1875
115777356.8875,118914930.53750001,141682743.2375
128200208.78750001,29774857.4875,113007228.0875
119504642.8875,87876992.2375,116380272.9375
120290044.6375,105789207.0875,94496044.2375
109222202.1375,145713047.3375,127948502.28750001
106982096.53750001,116021916.9375,109702629.7375
138418639.5875,120712391.6875,107205339.78750001
89509109.8375,92511879.1875,98289804.9875
116043480.8875,86322654.3875,150381556.4375
56323808.8375,115527807.0875,122143889.8875
66951921.9375,76267631.4375,113937337.8375
105804440.3375,127435625.53750001,98659201.3375
122788680.03750001,100050874.4875,151872924.0375
141321904.1875,121044105.1375,103436837.1875
121377640.3875,149360473.0375,116983681.9875
118268468.9375,138976753.6375,127826694.9875
113594490.6375,123427455.28750001,85949005.8375
55661243.487500004,77098787.3375,104401034.5875
146749679.4875,123055701.3375,124391228.28750001
138442111.8875,122505063.6875,101336137.5875
