costo,tiempo
7126, 1519
6633, 5286
7126, 1519
6995, 1738
6956, 4513
6805, 5232
6824, 4784
6884, 4741
6884, 4741
6956, 4513
6995, 1738
6821, 5037
6821, 5037
6805, 5232
6824, 4784
7126, 1519
6884, 4741
6956, 4513
6995, 1738
6805, 5232
6821, 5037
6824, 4784
7126, 1519
6884, 4741
6956, 4513
6995, 1738
6805, 5232
6821, 5037
6824, 4784
7126, 1519
6884, 4741
6956, 4513
6995, 1738
6805, 5232
6821, 5037
6824, 4784
7126, 1519
6884, 4741
6956, 4513
6995, 1738
6805, 5232
6821, 5037
6824, 4784
7126, 1519
6884, 4741
6956, 4513
6995, 1738
6805, 5232
6821, 5037
6824, 4784
7126, 1519
6884, 4741
6956, 4513
6995, 1738
6805, 5232
6821, 5037
6824, 4784
7126, 1519
6884, 4741
6956, 4513
6995, 1738
6805, 5232
6821, 5037
6824, 4784
7126, 1519
6884, 4741
6956, 4513
6995, 1738
6805, 5232
6821, 5037
6824, 4784
7126, 1519
6884, 4741
6956, 4513
6995, 1738
6805, 5232
6821, 5037
6824, 4784
7126, 1519
6884, 4741
6956, 4513
6995, 1738
6805, 5232
6821, 5037
6824, 4784
7126, 1519
6884, 4741
6956, 4513
6995, 1738
6805, 5232
6821, 5037
6824, 4784
7126, 1519
6884, 4741
6956, 4513
6884, 4741
6995, 1738
6995, 1738
6824, 4784
6884, 4741
