costo,tiempo
6897, 478
5172, 2963
6897, 478
5172, 2963
5344, 2824
5397, 1261
6120, 967
6448, 655
6120, 967
6448, 655
6747, 483
5971, 971
5172, 2936
6575, 621
6448, 628
5299, 2929
5844, 1005
6620, 516
6747, 490
5970, 979
5397, 1234
5502, 1222
5569, 1122
5696, 1089
5672, 1117
5799, 1083
5525, 1201
5397, 1261
6575, 595
5299, 2903
5525, 1201
5344, 2824
5569, 1130
6575, 595
5299, 2903
5343, 2832
6619, 524
5343, 2832
6619, 524
5569, 1130
5843, 1013
5801, 1076
5801, 1076
5843, 1013
5502, 1222
5696, 1096
5674, 1110
5970, 979
6747, 490
5844, 1005
6620, 516
5674, 1110
5696, 1096
5397, 1234
5799, 1083
5672, 1117
6448, 628
6575, 621
5172, 2936
5299, 2929
5696, 1089
5569, 1122
5971, 971
6747, 483
5172, 2963
6897, 478
6120, 967
6448, 655
5397, 1261
5525, 1201
5344, 2824
6575, 595
5299, 2903
5343, 2832
6619, 524
5569, 1130
5801, 1076
5843, 1013
5502, 1222
5970, 979
6747, 490
5844, 1005
6620, 516
5674, 1110
5696, 1096
5397, 1234
5799, 1083
5672, 1117
6448, 628
6575, 621
5172, 2936
5299, 2929
5696, 1089
5569, 1122
5971, 971
6747, 483
5172, 2963
6897, 478
6120, 967
6448, 655
5397, 1261
5525, 1201
5344, 2824
6575, 595
5299, 2903
5343, 2832
6619, 524
5569, 1130
5801, 1076
5843, 1013
5502, 1222
5970, 979
6747, 490
5844, 1005
6620, 516
5674, 1110
5696, 1096
5397, 1234
5799, 1083
5672, 1117
6448, 628
6575, 621
5172, 2936
5299, 2929
5696, 1089
5569, 1122
5971, 971
6747, 483
6897, 478
5172, 2963
6120, 967
6448, 655
5397, 1261
5525, 1201
5344, 2824
6575, 595
5299, 2903
5343, 2832
6619, 524
5569, 1130
5801, 1076
5843, 1013
5502, 1222
5970, 979
6747, 490
5844, 1005
6620, 516
5674, 1110
5696, 1096
5397, 1234
5799, 1083
5672, 1117
6448, 628
6575, 621
5172, 2936
5299, 2929
5696, 1089
5569, 1122
5971, 971
6747, 483
5172, 2963
6897, 478
6120, 967
6448, 655
5397, 1261
5525, 1201
5344, 2824
6575, 595
5299, 2903
5343, 2832
6619, 524
5569, 1130
5801, 1076
5843, 1013
5502, 1222
5970, 979
6747, 490
5844, 1005
6620, 516
5674, 1110
5696, 1096
5397, 1234
5799, 1083
5672, 1117
6448, 628
6575, 621
5172, 2936
5299, 2929
5696, 1089
5569, 1122
5971, 971
6747, 483
6897, 478
5172, 2963
6120, 967
6448, 655
5397, 1261
5525, 1201
5344, 2824
6575, 595
